clientes,cliente_id,repeticao,operacao,metodo,rota,codigo_status,sucesso,latencia_ms
5,5,5,LISTAR,GET,/produtos,200,True,4.46
5,5,5,CONSULTAR,GET,/produtos/{id},200,True,3.96
5,5,5,ATUALIZAR,PUT,/produtos/{id},200,True,9.56
5,5,5,EXCLUIR,DELETE,/produtos/{id},204,True,3.67
5,2,5,CRIAR,POST,/produtos,201,True,4.21
5,2,5,LISTAR,GET,/produtos,200,True,6.42
5,2,5,CONSULTAR,GET,/produtos/{id},200,True,6.46
5,2,5,ATUALIZAR,PUT,/produtos/{id},200,True,7.91
5,2,5,EXCLUIR,DELETE,/produtos/{id},204,True,2.98
5,1,5,CRIAR,POST,/produtos,201,True,5.35
5,1,5,LISTAR,GET,/produtos,200,True,6.25
5,1,5,CONSULTAR,GET,/produtos/{id},200,True,6.36
5,1,5,ATUALIZAR,PUT,/produtos/{id},200,True,6.46
5,1,5,EXCLUIR,DELETE,/produtos/{id},204,True,5.06
5,4,5,CRIAR,POST,/produtos,201,True,5.2
5,4,5,LISTAR,GET,/produtos,200,True,5.83
5,4,5,CONSULTAR,GET,/produtos/{id},200,True,3.89
5,4,5,ATUALIZAR,PUT,/produtos/{id},200,True,7.77
5,4,5,EXCLUIR,DELETE,/produtos/{id},204,True,6.4
5,3,6,CRIAR,POST,/produtos,201,True,4.61
5,3,6,LISTAR,GET,/produtos,200,True,2.62
5,3,6,CONSULTAR,GET,/produtos/{id},200,True,4.7
5,3,6,ATUALIZAR,PUT,/produtos/{id},200,True,5.2
5,3,6,EXCLUIR,DELETE,/produtos/{id},204,True,2.4
5,2,6,CRIAR,POST,/produtos,201,True,3.98
5,2,6,LISTAR,GET,/produtos,200,True,6.46
5,2,6,CONSULTAR,GET,/produtos/{id},200,True,4.22
5,2,6,ATUALIZAR,PUT,/produtos/{id},200,True,6.04
5,2,6,EXCLUIR,DELETE,/produtos/{id},204,True,4.06
5,5,6,CRIAR,POST,/produtos,201,True,5.44
5,5,6,LISTAR,GET,/produtos,200,True,5.83
5,5,6,CONSULTAR,GET,/produtos/{id},200,True,3.47
5,5,6,ATUALIZAR,PUT,/produtos/{id},200,True,5.16
5,5,6,EXCLUIR,DELETE,/produtos/{id},204,True,3.78
5,4,6,CRIAR,POST,/produtos,201,True,5.34
5,4,6,LISTAR,GET,/produtos,200,True,4.21
5,4,6,CONSULTAR,GET,/produtos/{id},200,True,3.44
5,4,6,ATUALIZAR,PUT,/produtos/{id},200,True,5.28
5,4,6,EXCLUIR,DELETE,/produtos/{id},204,True,6.26
5,1,6,CRIAR,POST,/produtos,201,True,3.88
5,1,6,LISTAR,GET,/produtos,200,True,6.27
5,1,6,CONSULTAR,GET,/produtos/{id},200,True,2.96
5,1,6,ATUALIZAR,PUT,/produtos/{id},200,True,11.16
5,1,6,EXCLUIR,DELETE,/produtos/{id},204,True,2.83
5,3,7,CRIAR,POST,/produtos,201,True,3.66
5,3,7,LISTAR,GET,/produtos,200,True,3.7
5,3,7,CONSULTAR,GET,/produtos/{id},200,True,4.36
5,3,7,ATUALIZAR,PUT,/produtos/{id},200,True,7.07
5,3,7,EXCLUIR,DELETE,/produtos/{id},204,True,4.47
5,2,7,CRIAR,POST,/produtos,201,True,2.98
5,2,7,LISTAR,GET,/produtos,200,True,4.82
5,2,7,CONSULTAR,GET,/produtos/{id},200,True,5.58
5,2,7,ATUALIZAR,PUT,/produtos/{id},200,True,5.14
5,2,7,EXCLUIR,DELETE,/produtos/{id},204,True,4.6
5,1,7,CRIAR,POST,/produtos,201,True,3.07
5,1,7,LISTAR,GET,/produtos,200,True,7.36
5,1,7,CONSULTAR,GET,/produtos/{id},200,True,5.68
5,1,7,ATUALIZAR,PUT,/produtos/{id},200,True,5.84
5,1,7,EXCLUIR,DELETE,/produtos/{id},204,True,4.17
5,4,7,CRIAR,POST,/produtos,201,True,7.04
5,4,7,LISTAR,GET,/produtos,200,True,4.45
5,4,7,CONSULTAR,GET,/produtos/{id},200,True,6.71
5,4,7,ATUALIZAR,PUT,/produtos/{id},200,True,7.79
5,4,7,EXCLUIR,DELETE,/produtos/{id},204,True,2.46
5,5,7,CRIAR,POST,/produtos,201,True,5.13
5,5,7,LISTAR,GET,/produtos,200,True,5.77
5,5,7,CONSULTAR,GET,/produtos/{id},200,True,7.51
5,5,7,ATUALIZAR,PUT,/produtos/{id},200,True,7.05
5,5,7,EXCLUIR,DELETE,/produtos/{id},204,True,1.85
5,1,8,CRIAR,POST,/produtos,201,True,2.88
5,1,8,LISTAR,GET,/produtos,200,True,4.87
5,1,8,CONSULTAR,GET,/produtos/{id},200,True,3.96
5,1,8,ATUALIZAR,PUT,/produtos/{id},200,True,5.09
5,1,8,EXCLUIR,DELETE,/produtos/{id},204,True,5.39
5,5,8,CRIAR,POST,/produtos,201,True,3.26
5,5,8,LISTAR,GET,/produtos,200,True,6.06
5,5,8,CONSULTAR,GET,/produtos/{id},200,True,6.18
5,5,8,ATUALIZAR,PUT,/produtos/{id},200,True,6.89
5,5,8,EXCLUIR,DELETE,/produtos/{id},204,True,4.59
5,4,8,CRIAR,POST,/produtos,201,True,5.35
5,4,8,LISTAR,GET,/produtos,200,True,5.04
5,4,8,CONSULTAR,GET,/produtos/{id},200,True,6.55
5,4,8,ATUALIZAR,PUT,/produtos/{id},200,True,5.58
5,4,8,EXCLUIR,DELETE,/produtos/{id},204,True,4.75
5,2,8,CRIAR,POST,/produtos,201,True,7.33
5,2,8,LISTAR,GET,/produtos,200,True,5.84
5,2,8,CONSULTAR,GET,/produtos/{id},200,True,4.0
5,2,8,ATUALIZAR,PUT,/produtos/{id},200,True,7.3
5,2,8,EXCLUIR,DELETE,/produtos/{id},204,True,4.36
5,3,8,CRIAR,POST,/produtos,201,True,4.53
5,3,8,LISTAR,GET,/produtos,200,True,7.62
5,3,8,CONSULTAR,GET,/produtos/{id},200,True,4.08
5,3,8,ATUALIZAR,PUT,/produtos/{id},200,True,6.91
5,3,8,EXCLUIR,DELETE,/produtos/{id},204,True,6.29
5,1,9,CRIAR,POST,/produtos,201,True,4.98
5,1,9,LISTAR,GET,/produtos,200,True,4.65
5,1,9,CONSULTAR,GET,/produtos/{id},200,True,4.12
5,1,9,ATUALIZAR,PUT,/produtos/{id},200,True,4.3
5,1,9,EXCLUIR,DELETE,/produtos/{id},204,True,6.25
5,3,9,CRIAR,POST,/produtos,201,True,3.94
5,3,9,LISTAR,GET,/produtos,200,True,3.49
5,3,9,CONSULTAR,GET,/produtos/{id},200,True,4.14
5,3,9,ATUALIZAR,PUT,/produtos/{id},200,True,7.34
5,3,9,EXCLUIR,DELETE,/produtos/{id},204,True,4.24
5,2,9,CRIAR,POST,/produtos,201,True,7.2
5,2,9,LISTAR,GET,/produtos,200,True,3.7
5,2,9,CONSULTAR,GET,/produtos/{id},200,True,6.2
5,2,9,ATUALIZAR,PUT,/produtos/{id},200,True,6.94
5,2,9,EXCLUIR,DELETE,/produtos/{id},204,True,3.93
5,5,9,CRIAR,POST,/produtos,201,True,4.33
5,5,9,LISTAR,GET,/produtos,200,True,2.96
5,5,9,CONSULTAR,GET,/produtos/{id},200,True,7.42
5,5,9,ATUALIZAR,PUT,/produtos/{id},200,True,6.76
5,5,9,EXCLUIR,DELETE,/produtos/{id},204,True,3.63
5,4,9,CRIAR,POST,/produtos,201,True,4.37
5,4,9,LISTAR,GET,/produtos,200,True,5.74
5,4,9,CONSULTAR,GET,/produtos/{id},200,True,5.1
5,4,9,ATUALIZAR,PUT,/produtos/{id},200,True,6.71
5,4,9,EXCLUIR,DELETE,/produtos/{id},204,True,4.51
5,2,10,CRIAR,POST,/produtos,201,True,4.16
5,2,10,LISTAR,GET,/produtos,200,True,3.88
5,2,10,CONSULTAR,GET,/produtos/{id},200,True,4.38
5,2,10,ATUALIZAR,PUT,/produtos/{id},200,True,4.21
5,2,10,EXCLUIR,DELETE,/produtos/{id},204,True,2.86
5,1,10,CRIAR,POST,/produtos,201,True,4.73
5,1,10,LISTAR,GET,/produtos,200,True,3.8
5,1,10,CONSULTAR,GET,/produtos/{id},200,True,3.91
5,1,10,ATUALIZAR,PUT,/produtos/{id},200,True,5.54
5,1,10,EXCLUIR,DELETE,/produtos/{id},204,True,4.27
5,4,10,CRIAR,POST,/produtos,201,True,5.56
5,4,10,LISTAR,GET,/produtos,200,True,2.74
5,4,10,CONSULTAR,GET,/produtos/{id},200,True,3.89
5,4,10,ATUALIZAR,PUT,/produtos/{id},200,True,4.22
5,4,10,EXCLUIR,DELETE,/produtos/{id},204,True,3.39
5,5,10,CRIAR,POST,/produtos,201,True,3.89
5,5,10,LISTAR,GET,/produtos,200,True,3.92
5,5,10,CONSULTAR,GET,/produtos/{id},200,True,4.23
5,5,10,ATUALIZAR,PUT,/produtos/{id},200,True,5.31
5,5,10,EXCLUIR,DELETE,/produtos/{id},204,True,3.5
5,3,10,CRIAR,POST,/produtos,201,True,4.45
5,3,10,LISTAR,GET,/produtos,200,True,4.1
5,3,10,CONSULTAR,GET,/produtos/{id},200,True,5.14
5,3,10,ATUALIZAR,PUT,/produtos/{id},200,True,7.34
5,3,10,EXCLUIR,DELETE,/produtos/{id},204,True,1.73
10,2,1,CRIAR,POST,/produtos,201,True,7.5
10,2,1,LISTAR,GET,/produtos,200,True,9.01
10,2,1,CONSULTAR,GET,/produtos/{id},200,True,9.35
10,2,1,ATUALIZAR,PUT,/produtos/{id},200,True,9.86
10,2,1,EXCLUIR,DELETE,/produtos/{id},204,True,7.46
10,3,1,CRIAR,POST,/produtos,201,True,7.89
10,3,1,LISTAR,GET,/produtos,200,True,6.8
10,3,1,CONSULTAR,GET,/produtos/{id},200,True,11.82
10,3,1,ATUALIZAR,PUT,/produtos/{id},200,True,12.6
10,3,1,EXCLUIR,DELETE,/produtos/{id},204,True,6.81
10,10,1,CRIAR,POST,/produtos,201,True,11.66
10,10,1,LISTAR,GET,/produtos,200,True,7.31
10,10,1,CONSULTAR,GET,/produtos/{id},200,True,6.03
10,10,1,ATUALIZAR,PUT,/produtos/{id},200,True,7.9
10,10,1,EXCLUIR,DELETE,/produtos/{id},204,True,8.63
10,4,1,CRIAR,POST,/produtos,201,True,11.89
10,4,1,LISTAR,GET,/produtos,200,True,10.2
10,4,1,CONSULTAR,GET,/produtos/{id},200,True,7.79
10,4,1,ATUALIZAR,PUT,/produtos/{id},200,True,8.51
10,4,1,EXCLUIR,DELETE,/produtos/{id},204,True,8.49
10,7,1,CRIAR,POST,/produtos,201,True,12.01
10,7,1,LISTAR,GET,/produtos,200,True,7.17
10,7,1,CONSULTAR,GET,/produtos/{id},200,True,9.83
10,7,1,ATUALIZAR,PUT,/produtos/{id},200,True,11.48
10,7,1,EXCLUIR,DELETE,/produtos/{id},204,True,4.76
10,9,1,CRIAR,POST,/produtos,201,True,10.95
10,9,1,LISTAR,GET,/produtos,200,True,7.58
